,x,y,z,wts
31590,157.0,190.0,10.049775782708483,1.2955747955747954
28693,143.0,93.0,9.524317558185695,0.6034827039785085
39142,195.0,142.0,11.946119943698406,1.4800986050986047
39297,196.0,97.0,8.345989914073607,1.2368021136137073
16843,84.0,43.0,11.587188895913991,0.6456064789887475
14172,70.0,172.0,6.680309193601307,0.815030138253177
16759,83.0,159.0,9.572520548145679,0.617143929676179
4214,21.0,14.0,9.689859464974933,1.4794454433184407
3986,19.0,186.0,10.929370946343171,1.4710386064552725
3059,15.0,59.0,8.740785636731934,1.700825914698912
6913,34.0,113.0,8.047599991689713,0.7687274655225419
1002,5.0,2.0,9.83482871797488,1.9387047025776996
28422,142.0,22.0,12.016564947608199,0.9127266977394011
13869,69.0,69.0,12.882729305765933,0.6287232271500002
9962,49.0,162.0,8.442531446532836,0.8607817722401052
16057,80.0,57.0,13.829434547502375,0.6244424578247262
13454,67.0,54.0,14.509408680376735,0.6356031721104406
20361,101.0,161.0,7.771369805598901,0.6136950150430541
13470,67.0,70.0,12.786297776258237,0.6287232271500002
33794,168.0,194.0,10.27939767831394,1.9638949013949003
13383,66.0,183.0,6.367827955004066,1.049405138253177
24672,123.0,72.0,7.955627803389224,0.6074793442213348
10108,50.0,108.0,10.925278581050302,0.6760644220442812
18339,91.0,139.0,9.839603915960355,0.5713839150862413
13723,68.0,123.0,13.086872308156444,0.6137630342423211
7102,35.0,102.0,6.759038252119125,0.7666441321892087
24314,121.0,114.0,11.102807496094375,0.5495616786806715
37115,185.0,115.0,9.038336315040857,0.8327421035754364
14028,70.0,28.0,10.79361997860678,0.9096925824317351
19783,98.0,183.0,7.676295997151486,0.8288964802445189
30917,154.0,117.0,13.30961441238111,0.5879808949984388
33489,167.0,89.0,10.675126519821516,0.647786962098556
18206,91.0,6.0,13.098904567126414,2.322318648998018
33915,169.0,115.0,11.43961407799314,0.60357543690877
16358,81.0,158.0,10.044584000691188,0.617143929676179
1800,9.0,0.0,8.818077211570287,1.9387047025776996
21362,106.0,162.0,9.333494653710881,0.6136950150430541
37621,188.0,21.0,8.200165442518177,1.747434228412489
37168,185.0,168.0,9.2525208243839,1.6127044252044245
38033,190.0,33.0,9.514199602076134,1.6151590961373565
3758,18.0,158.0,9.999208613545823,0.9960395790665394
20236,101.0,36.0,9.777389939287685,0.7150722721864249
10265,51.0,65.0,12.757544509758164,0.6496087743513369
29929,149.0,129.0,11.25194243571578,0.600306532324076
13079,65.0,79.0,13.84475052731367,0.6129669246289919
17106,85.0,106.0,11.832862633390315,0.5595910816448569
22127,110.0,127.0,9.374462219993477,0.5472318326008253
9721,48.0,121.0,9.91908343972398,0.682748629543706
32332,161.0,132.0,9.374636655811557,0.7184143017476349
18455,92.0,55.0,12.428240664098379,0.6187606396429081
4739,23.0,139.0,7.870296611639173,0.8523406853676458
18769,93.0,169.0,9.25465142047291,0.6205631469111857
4736,23.0,136.0,7.3017236714064175,0.8523406853676458
13782,68.0,182.0,5.818377084729245,1.049405138253177
35491,177.0,91.0,9.571876319283277,0.708528304089898
3766,18.0,166.0,8.843239603279086,1.1018596848866453
38267,191.0,67.0,6.797481399370645,2.2993021136137064
4515,22.0,115.0,7.925244792562044,1.094653391448468
5418,27.0,18.0,10.372597364619768,1.4794454433184407
34600,173.0,0.0,9.826354889811892,1.9710519849249821
763,3.0,163.0,9.0921220296434,1.4664430182199784
24268,121.0,68.0,8.99917644197176,0.6335210108880014
32388,161.0,188.0,9.280851404892022,1.5918710918710912
1404,7.0,4.0,9.066567431802383,1.9387047025776996
14680,73.0,80.0,11.921270574360488,0.5915208461976192
28871,144.0,71.0,9.753977125460617,0.6293641690047103
196,0.0,196.0,8.126687962033243,3.028803757970422
22381,111.0,181.0,9.379405206912102,0.8267631968612356
29807,149.0,7.0,11.57071306462299,1.3830549805676835
23250,116.0,50.0,8.725052679664694,0.6593691052513737
1344,6.0,144.0,8.721240022475584,1.3227441245210847
21831,109.0,31.0,9.122932916222538,0.7150722721864249
26203,131.0,3.0,13.066592123292342,1.3477816119609816
36926,184.0,126.0,7.1842921772428845,0.8616021324354652
37440,187.0,40.0,5.253474103246023,1.6151590961373565
12075,60.0,75.0,14.870144307518645,0.6338524718303286
11216,56.0,16.0,12.401380661970073,1.2325318630715272
7160,35.0,160.0,9.009186251467021,0.8284910781847051
25792,128.0,192.0,9.065837452136174,1.2252420328400713
3264,16.0,64.0,9.314075390150087,1.6214608353338327
24966,124.0,166.0,10.307539710848886,0.644884889982929
27193,135.0,193.0,7.903990110492944,1.3024025266672317
20437,102.0,37.0,9.071321471535525,0.7150722721864249
38904,194.0,104.0,9.033416123145033,1.2173921757255084
23569,117.0,169.0,11.263372682524945,0.6184298635279025
35324,176.0,124.0,9.534175187949058,0.7053521324354655
12425,62.0,25.0,12.502027274634187,0.9096925824317351
32313,161.0,113.0,11.621349692735158,0.60357543690877
23983,119.0,183.0,8.97009917476233,0.8267631968612356
18425,92.0,25.0,10.438867466091965,0.8928500499642027
8071,40.0,71.0,11.465942548893654,0.7725322300753044
2975,14.0,175.0,10.288613773897984,1.2366636064552727
35880,179.0,80.0,12.375282955744328,0.7344097691160998
27249,136.0,49.0,9.793513934791141,0.6700305854780715
21768,108.0,168.0,8.011871707700909,0.6136950150430541
26266,131.0,66.0,6.3845126342141185,0.6419866193536098
34927,174.0,127.0,10.974823263696393,0.7053521324354655
29801,149.0,1.0,12.70476465048743,1.3830549805676835
33705,168.0,105.0,9.229305431023558,0.6162016995350327
27734,138.0,134.0,12.21637150630059,0.6728661519851449
