,x,y,z,wts
13633,68.0,33.0,11.608514837380111,0.8837780399481167
17311,86.0,111.0,10.951336146478454,0.4825938072895475
11461,57.0,61.0,14.172755934940946,0.775283593218376
6662,33.0,62.0,11.877774996136043,0.9004203482570916
2574,12.0,174.0,10.495118097131042,1.9448412698412698
5144,25.0,144.0,7.885429612488993,1.0300118487940981
9871,49.0,71.0,13.590438314542078,0.659542852477635
5445,27.0,45.0,12.264545453565152,1.3730634459001894
24723,123.0,123.0,9.062827511095833,0.4842421589378992
3123,15.0,123.0,7.758619962504891,1.2192935547424708
16930,84.0,130.0,11.740301507132113,0.4783850530807933
23637,118.0,37.0,8.713860982170312,0.837990134865135
25125,125.0,125.0,10.863815315139007,0.4842421589378992
17423,87.0,23.0,8.668336088019453,1.0554952116652883
37655,188.0,55.0,3.5413986249638523,1.9174107142857144
39012,195.0,12.0,6.925203788415661,4.467592592592592
25567,127.0,167.0,11.580211882363718,0.5908943608429391
17572,87.0,172.0,10.103484355520647,0.5850372549858331
2607,13.0,7.0,9.460694014750274,4.766954042689335
34146,170.0,146.0,9.350489281357042,0.7187223483200493
37954,189.0,154.0,10.730851747541736,0.8996923601090266
20345,101.0,145.0,8.82818444882937,0.48203145541140624
22766,113.0,166.0,10.452842871011617,0.5866856066341849
18354,91.0,154.0,11.057544585020793,0.4803234502720285
11150,55.0,150.0,8.412735696971675,0.6621445796110399
34199,170.0,199.0,9.975704324210446,1.6570967612634284
6101,30.0,101.0,8.586364407567444,0.6699596358433347
9368,46.0,168.0,9.67469419579424,0.9964184451026558
22546,112.0,146.0,8.498416419058193,0.4819718019203801
19975,99.0,175.0,7.1422924475373675,0.7035301605477043
36579,182.0,179.0,11.230844803768736,2.145054636721304
36506,182.0,106.0,7.506992252899975,0.7921606171606171
39107,195.0,107.0,7.293215259481169,1.475333694083694
36773,183.0,173.0,10.083386870169406,1.1450546367213033
12195,60.0,195.0,9.109993127912274,1.9618505438680875
17706,88.0,106.0,10.142889005616533,0.4864585415890644
27857,139.0,57.0,11.095388953731202,0.8002027588424645
25386,126.0,186.0,10.177296236195568,0.9132334202509642
6503,32.0,103.0,7.624228532244784,0.6699596358433347
35252,176.0,52.0,3.3038487381962645,1.5801091269841274
18422,92.0,22.0,9.952722018940507,1.0554952116652883
20379,101.0,179.0,7.437441684166765,0.7035301605477043
22973,114.0,173.0,9.724902135757405,0.5866856066341849
29116,145.0,116.0,13.842453659298284,0.5525442272399675
21832,109.0,32.0,9.394970973864655,0.915159342469125
1884,9.0,84.0,8.255935481819996,1.9488414850256954
6340,31.0,140.0,9.189271282999444,0.7985303673126167
35231,176.0,31.0,7.179574685396563,1.9875165343915346
18642,93.0,42.0,11.241138014081608,0.7913092342440169
31338,156.0,138.0,10.42994539037293,0.5614993244303589
9397,46.0,197.0,10.89954521593766,2.1657166907166907
7488,37.0,88.0,11.24956532602644,0.6413706413229677
16589,82.0,189.0,11.225912715346126,1.1911675231850671
22282,111.0,82.0,10.517193879075705,0.59325848982923
39508,197.0,108.0,6.819773414662059,1.475333694083694
31080,155.0,80.0,9.038369509544285,0.7227220695970696
38133,190.0,133.0,9.9089563396565,0.8370821308321308
33518,167.0,118.0,11.477544936050126,0.679681142612177
20354,101.0,154.0,10.200140741360952,0.4784003733489516
27794,138.0,194.0,9.210591815138786,1.1993024438199877
30094,150.0,94.0,10.067421549582102,0.6343573691634036
38721,193.0,121.0,6.889918210916065,0.8370821308321308
24795,123.0,195.0,7.370636099264926,1.1757334202509642
38737,193.0,137.0,12.931083098175352,0.8556006493506493
30232,151.0,32.0,11.578947297534947,1.4200284669034666
31520,157.0,120.0,11.879888825308107,0.5429808059118404
37969,189.0,169.0,9.735962604181827,1.2532277136443803
12563,62.0,163.0,11.440670792973016,0.6320584710935587
38711,193.0,111.0,6.553921770515002,0.8606511544011543
18135,90.0,135.0,12.11930363237358,0.4783850530807933
19106,95.0,106.0,10.559547809901698,0.4845354646659875
7922,39.0,122.0,6.793337575611246,0.5889344077166574
34895,174.0,95.0,8.72873042305424,0.7474886822947169
4495,22.0,95.0,6.774885982724979,0.8625101408938397
14045,70.0,45.0,12.925102897798105,0.6895740957441724
23616,118.0,16.0,12.243115138041047,1.4089377058127057
5172,25.0,172.0,8.21252820935813,1.3996170983013085
30562,152.0,162.0,9.541760122002302,0.6537391833368844
28010,140.0,10.0,12.578708174404646,2.0002075470825464
11211,56.0,11.0,12.629799166005425,1.6685616942969883
18324,91.0,124.0,9.867677553845807,0.4783850530807933
10093,50.0,93.0,9.635456448380179,0.5697411814582137
30350,151.0,150.0,9.333229636620064,0.6055910351887362
14651,73.0,51.0,14.362794367269476,0.6895740957441724
8207,41.0,7.0,12.35066013939133,2.37012864586394
8357,41.0,157.0,8.61669458264563,0.835924617942162
12713,63.0,113.0,12.167236455403971,0.540958146505102
20850,104.0,50.0,8.267106699722968,0.7209553982651808
31153,155.0,153.0,8.461975940311511,0.6055910351887362
26751,133.0,151.0,9.970663981386215,0.5097495796981579
27647,138.0,47.0,11.18589241998911,0.799149346024346
19750,98.0,150.0,9.511162075465295,0.4784003733489516
2510,12.0,110.0,8.715134728921557,1.1637379991869155
15080,75.0,80.0,10.539564299664455,0.5779771959119784
9666,48.0,66.0,15.236717616243762,0.659542852477635
13519,67.0,119.0,11.574725607414827,0.5158343596166093
28598,142.0,198.0,10.100932790052612,1.2334155042488375
6343,31.0,143.0,9.191893828415882,0.7985303673126167
21672,108.0,72.0,12.238189656582138,0.6093584984329868
4676,23.0,76.0,7.85884221248536,0.9130301059648884
